CNPJ,RAZAO_SOCIAL,UF,ANO,TRIMESTRE,VALOR
00006037000127,UNIMED DE TATUI - COOPERATIVA DE TRABALHO MADICO,SP,2025,1,1465609205.6
00006037000127,UNIMED DE TATUI - COOPERATIVA DE TRABALHO MADICO,SP,2025,2,2115090482.56
00006037000127,UNIMED DE TATUI - COOPERATIVA DE TRABALHO MADICO,SP,2025,3,2691229905.76
00012698000165,UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO,SP,2025,1,263184396.96
00012698000165,UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO,SP,2025,2,435879258.24
00012698000165,UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO,SP,2025,3,603162192.96
00034259000153,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DA BAIXADA SANTISTA,SP,2025,1,300670012.64
00034259000153,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DA BAIXADA SANTISTA,SP,2025,2,536632644.64
00034259000153,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DA BAIXADA SANTISTA,SP,2025,3,800644684.48
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTANCIA A SAADE LTDA.,RS,2025,1,1901577654.72
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTANCIA A SAADE LTDA.,RS,2025,2,2504003898.72
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTANCIA A SAADE LTDA.,RS,2025,3,3217308358.56
00111826000128,UNIMED ARARUAMA COOPERATIVA DE TRABALHO MADICO LTDA,RJ,2025,1,1472542750.72
00111826000128,UNIMED ARARUAMA COOPERATIVA DE TRABALHO MADICO LTDA,RJ,2025,2,2221069734.4
00111826000128,UNIMED ARARUAMA COOPERATIVA DE TRABALHO MADICO LTDA,RJ,2025,3,3044628984.0
00147571000153,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DE BAURU,SP,2025,1,490905072.16
00147571000153,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DE BAURU,SP,2025,2,770709625.28
00147571000153,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DE BAURU,SP,2025,3,1002245496.32
00172586000171,UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA,SP,2025,1,65184983.68
00172586000171,UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA,SP,2025,2,111827510.88
00172586000171,UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA,SP,2025,3,142172577.76
